province_0405_th,NAME_1,Year,Value,Measure
จังหวัดชลบุรี,Chon Buri,2015,125584,OS_MB
จังหวัดชัยนาท,Chai Nat,2015,942,OS_MB
จังหวัดชัยภูมิ,Chaiyaphum,2015,2536,OS_MB
จังหวัดชุมพร,Chumphon,2015,4055,OS_MB
จังหวัดเชียงราย,Chiang Rai,2015,9907,OS_MB
จังหวัดเชียงใหม่,Chiang Mai,2015,53383,OS_MB
จังหวัดตรัง,Trang,2015,5715,OS_MB
จังหวัดตราด,Trat,2015,1687,OS_MB
จังหวัดตาก,Tak,2015,2634,OS_MB
จังหวัดนครนายก,Nakhon Nayok,2015,1512,OS_MB
จังหวัดนครปฐม,Nakhon Pathom,2015,17880,OS_MB
จังหวัดนครพนม,Nakhon Phanom,2015,1549,OS_MB
จังหวัดนครราชสีมา,Nakhon Ratchasima,2015,26307,OS_MB
จังหวัดนครศรีธรรมราช,Nakhon Si Thammarat,2015,14684,OS_MB
จังหวัดนครสวรรค์,Nakhon Sawan,2015,6884,OS_MB
จังหวัดนนทบุรี,Nonthaburi,2015,58534,OS_MB
จังหวัดนราธิวาส,Narathiwat,2015,1357,OS_MB
จังหวัดน่าน,Nan,2015,881,OS_MB
จังหวัดบึงกาฬ,Bueng Kan,2015,934,OS_MB
จังหวัดบุรีรัมย์,Buri Ram,2015,3820,OS_MB
จังหวัดปทุมธานี,Pathum Thani,2015,44898,OS_MB
จังหวัดประจวบคีรีขันธ์,Prachuap Khiri Khan,2015,10898,OS_MB
จังหวัดปราจีนบุรี,Prachin Buri,2015,3965,OS_MB
จังหวัดปัตตานี,Pattani,2015,1366,OS_MB
จังหวัดพระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,2015,15114,OS_MB
จังหวัดพะเยา,Phayao,2015,2242,OS_MB
จังหวัดพังงา,Phangnga,2015,3094,OS_MB
จังหวัดพัทลุง,Phatthalung,2015,2593,OS_MB
จังหวัดพิจิตร,Phichit,2015,2474,OS_MB
จังหวัดพิษณุโลก,Phitsanulok,2015,9976,OS_MB
จังหวัดเพชรบุรี,Phetchaburi,2015,5642,OS_MB
จังหวัดเพชรบูรณ์,Phetchabun,2015,3257,OS_MB
จังหวัดแพร่,Phrae,2015,1627,OS_MB
จังหวัดภูเก็ต,Phuket,2015,57202,OS_MB
จังหวัดมหาสารคาม,Maha Sarakham,2015,4055,OS_MB
จังหวัดมุกดาหาร,Mukdahan,2015,1248,OS_MB
จังหวัดแม่ฮ่องสอน,Mae Hong Son,2015,767,OS_MB
จังหวัดยโสธร,Yasothon,2015,1277,OS_MB
จังหวัดยะลา,Yala,2015,3409,OS_MB
จังหวัดร้อยเอ็ด,Roi Et,2015,3336,OS_MB
จังหวัดระนอง,Ranong,2015,1089,OS_MB
จังหวัดระยอง,Rayong,2015,35115,OS_MB
จังหวัดราชบุรี,Ratchaburi,2015,9002,OS_MB
จังหวัดลพบุรี,Lop Buri,2015,4113,OS_MB
จังหวัดลำปาง,Lampang,2015,4413,OS_MB
จังหวัดลำพูน,Lamphun,2015,3623,OS_MB
จังหวัดเลย,Loei,2015,1562,OS_MB
จังหวัดศรีสะเกษ,Si Sa Ket,2015,2410,OS_MB
จังหวัดสกลนคร,Sakon Nakhon,2015,2896,OS_MB
จังหวัดสงขลา,Songkhla,2015,33778,OS_MB
จังหวัดสตูล,Satun,2015,1858,OS_MB
จังหวัดสมุทรปราการ,Samut Prakan,2015,52234,OS_MB
จังหวัดสมุทรสงคราม,Samut Songkhram,2015,2582,OS_MB
จังหวัดสมุทรสาคร,Samut Sakhon,2015,18484,OS_MB
จังหวัดสระแก้ว,Sa Kaeo,2015,1972,OS_MB
จังหวัดสระบุรี,Saraburi,2015,8003,OS_MB
จังหวัดสิงห์บุรี,Sing Buri,2015,825,OS_MB
จังหวัดสุโขทัย,Sukhothai,2015,1614,OS_MB
จังหวัดสุพรรณบุรี,Suphan Buri,2015,4757,OS_MB
จังหวัดสุราษฎร์ธานี,Surat Thani,2015,23702,OS_MB
จังหวัดสุรินทร์,Surin,2015,3432,OS_MB
จังหวัดหนองคาย,Nong Khai,2015,2740,OS_MB
จังหวัดหนองบัวลำภู,Nong Bua Lam Phu,2015,899,OS_MB
จังหวัดอ่างทอง,Ang Thong,2015,1332,OS_MB
จังหวัดอำนาจเจริญ,Amnat Charoen,2015,942,OS_MB
จังหวัดอุดรธานี,Udon Thani,2015,10915,OS_MB
จังหวัดอุตรดิตถ์,Uttaradit,2015,1694,OS_MB
จังหวัดอุทัยธานี,Uthai Thani,2015,586,OS_MB
จังหวัดอุบลราชธานี,Ubon Ratchathani,2015,9052,OS_MB
จังหวัดกระบี่,Krabi,2016Q3,8771,OS_MB
จังหวัดกรุงเทพมหานคร,Bangkok Metropolis,2016Q3,1066468,OS_MB
จังหวัดกาญจนบุรี,Kanchanaburi,2016Q3,4715,OS_MB
จังหวัดกาฬสินธุ์,Kalasin,2016Q3,1651,OS_MB
จังหวัดกำแพงเพชร,Kamphaeng Phet,2016Q3,2348,OS_MB
จังหวัดขอนแก่น,Khon Kaen,2016Q3,27654,OS_MB
จังหวัดจันทบุรี,Chanthaburi,2016Q3,5580,OS_MB
จังหวัดฉะเชิงเทรา,Chachoengsao,2016Q3,12925,OS_MB
จังหวัดชลบุรี,Chon Buri,2016Q3,136505,OS_MB
จังหวัดชัยนาท,Chai Nat,2016Q3,973,OS_MB
จังหวัดชัยภูมิ,Chaiyaphum,2016Q3,2570,OS_MB
จังหวัดชุมพร,Chumphon,2016Q3,3939,OS_MB
จังหวัดเชียงราย,Chiang Rai,2016Q3,9549,OS_MB
จังหวัดเชียงใหม่,Chiang Mai,2016Q3,56058,OS_MB
จังหวัดตรัง,Trang,2016Q3,5913,OS_MB
จังหวัดตราด,Trat,2016Q3,1767,OS_MB
จังหวัดตาก,Tak,2016Q3,2633,OS_MB
จังหวัดนครนายก,Nakhon Nayok,2016Q3,1569,OS_MB
จังหวัดนครปฐม,Nakhon Pathom,2016Q3,18955,OS_MB
จังหวัดนครพนม,Nakhon Phanom,2016Q3,1420,OS_MB
จังหวัดนครราชสีมา,Nakhon Ratchasima,2016Q3,27431,OS_MB
จังหวัดนครศรีธรรมราช,Nakhon Si Thammarat,2016Q3,14793,OS_MB
จังหวัดนครสวรรค์,Nakhon Sawan,2016Q3,6716,OS_MB
จังหวัดนนทบุรี,Nonthaburi,2016Q3,63616,OS_MB
จังหวัดนราธิวาส,Narathiwat,2016Q3,1548,OS_MB
จังหวัดน่าน,Nan,2016Q3,876,OS_MB
จังหวัดบึงกาฬ,Bueng Kan,2016Q3,970,OS_MB
จังหวัดบุรีรัมย์,Buri Ram,2016Q3,3879,OS_MB
จังหวัดปทุมธานี,Pathum Thani,2016Q3,46541,OS_MB
จังหวัดประจวบคีรีขันธ์,Prachuap Khiri Khan,2016Q3,11449,OS_MB
จังหวัดปราจีนบุรี,Prachin Buri,2016Q3,4264,OS_MB
จังหวัดปัตตานี,Pattani,2016Q3,1393,OS_MB
จังหวัดพระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,2016Q3,15341,OS_MB
จังหวัดพะเยา,Phayao,2016Q3,1933,OS_MB
จังหวัดพังงา,Phangnga,2016Q3,3025,OS_MB
จังหวัดพัทลุง,Phatthalung,2016Q3,2958,OS_MB
จังหวัดพิจิตร,Phichit,2016Q3,2395,OS_MB
จังหวัดพิษณุโลก,Phitsanulok,2016Q3,9994,OS_MB
จังหวัดเพชรบุรี,Phetchaburi,2016Q3,5942,OS_MB
จังหวัดเพชรบูรณ์,Phetchabun,2016Q3,3304,OS_MB
จังหวัดแพร่,Phrae,2016Q3,1641,OS_MB
จังหวัดภูเก็ต,Phuket,2016Q3,58179,OS_MB
จังหวัดมหาสารคาม,Maha Sarakham,2016Q3,4228,OS_MB
จังหวัดมุกดาหาร,Mukdahan,2016Q3,1291,OS_MB
จังหวัดแม่ฮ่องสอน,Mae Hong Son,2016Q3,675,OS_MB
จังหวัดยโสธร,Yasothon,2016Q3,1247,OS_MB
จังหวัดยะลา,Yala,2016Q3,3244,OS_MB
จังหวัดร้อยเอ็ด,Roi Et,2016Q3,3567,OS_MB
จังหวัดระนอง,Ranong,2016Q3,1135,OS_MB
จังหวัดระยอง,Rayong,2016Q3,38871,OS_MB
จังหวัดราชบุรี,Ratchaburi,2016Q3,9158,OS_MB
จังหวัดลพบุรี,Lop Buri,2016Q3,4229,OS_MB
จังหวัดลำปาง,Lampang,2016Q3,4849,OS_MB
จังหวัดลำพูน,Lamphun,2016Q3,3902,OS_MB
จังหวัดเลย,Loei,2016Q3,1682,OS_MB
จังหวัดศรีสะเกษ,Si Sa Ket,2016Q3,2432,OS_MB
จังหวัดสกลนคร,Sakon Nakhon,2016Q3,2871,OS_MB
จังหวัดสงขลา,Songkhla,2016Q3,34963,OS_MB
จังหวัดสตูล,Satun,2016Q3,1877,OS_MB
จังหวัดสมุทรปราการ,Samut Prakan,2016Q3,55339,OS_MB
จังหวัดสมุทรสงคราม,Samut Songkhram,2016Q3,2641,OS_MB
จังหวัดสมุทรสาคร,Samut Sakhon,2016Q3,18917,OS_MB
จังหวัดสระแก้ว,Sa Kaeo,2016Q3,2092,OS_MB
จังหวัดสระบุรี,Saraburi,2016Q3,8405,OS_MB
จังหวัดสิงห์บุรี,Sing Buri,2016Q3,832,OS_MB
จังหวัดสุโขทัย,Sukhothai,2016Q3,1603,OS_MB
จังหวัดสุพรรณบุรี,Suphan Buri,2016Q3,4868,OS_MB
จังหวัดสุราษฎร์ธานี,Surat Thani,2016Q3,23615,OS_MB
จังหวัดสุรินทร์,Surin,2016Q3,3396,OS_MB
จังหวัดหนองคาย,Nong Khai,2016Q3,2645,OS_MB
จังหวัดหนองบัวลำภู,Nong Bua Lam Phu,2016Q3,919,OS_MB
จังหวัดอ่างทอง,Ang Thong,2016Q3,1324,OS_MB
จังหวัดอำนาจเจริญ,Amnat Charoen,2016Q3,1003,OS_MB
จังหวัดอุดรธานี,Udon Thani,2016Q3,11309,OS_MB
จังหวัดอุตรดิตถ์,Uttaradit,2016Q3,1682,OS_MB
จังหวัดอุทัยธานี,Uthai Thani,2016Q3,580,OS_MB
จังหวัดอุบลราชธานี,Ubon Ratchathani,2016Q3,9328,OS_MB
จังหวัดกระบี่,Krabi,2012,1.28,Ticket_MB
จังหวัดกรุงเทพมหานคร,Bangkok Metropolis,2012,1.36,Ticket_MB
จังหวัดกาญจนบุรี,Kanchanaburi,2012,0.77,Ticket_MB
จังหวัดกาฬสินธุ์,Kalasin,2012,0.78,Ticket_MB
จังหวัดกำแพงเพชร,Kamphaeng Phet,2012,0.89,Ticket_MB
จังหวัดขอนแก่น,Khon Kaen,2012,0.96,Ticket_MB
จังหวัดจันทบุรี,Chanthaburi,2012,1.02,Ticket_MB
จังหวัดฉะเชิงเทรา,Chachoengsao,2012,0.85,Ticket_MB
จังหวัดชลบุรี,Chon Buri,2012,1,Ticket_MB
จังหวัดชัยนาท,Chai Nat,2012,0.8,Ticket_MB
จังหวัดชัยภูมิ,Chaiyaphum,2012,0.73,Ticket_MB
จังหวัดชุมพร,Chumphon,2012,0.82,Ticket_MB
จังหวัดเชียงราย,Chiang Rai,2012,0.88,Ticket_MB
จังหวัดเชียงใหม่,Chiang Mai,2012,1.03,Ticket_MB
จังหวัดตรัง,Trang,2012,0.84,Ticket_MB
จังหวัดตราด,Trat,2012,0.95,Ticket_MB
จังหวัดตาก,Tak,2012,0.85,Ticket_MB
จังหวัดนครนายก,Nakhon Nayok,2012,0.72,Ticket_MB
จังหวัดนครปฐม,Nakhon Pathom,2012,0.97,Ticket_MB
จังหวัดนครพนม,Nakhon Phanom,2012,0.8,Ticket_MB
จังหวัดนครราชสีมา,Nakhon Ratchasima,2012,0.94,Ticket_MB
จังหวัดนครศรีธรรมราช,Nakhon Si Thammarat,2012,0.72,Ticket_MB
จังหวัดนครสวรรค์,Nakhon Sawan,2012,0.94,Ticket_MB
จังหวัดนนทบุรี,Nonthaburi,2012,1.25,Ticket_MB
จังหวัดนราธิวาส,Narathiwat,2012,0.72,Ticket_MB
จังหวัดน่าน,Nan,2012,0.78,Ticket_MB
จังหวัดบึงกาฬ,Bueng Kan,2012,1.05,Ticket_MB
จังหวัดบุรีรัมย์,Buri Ram,2012,0.86,Ticket_MB
จังหวัดปทุมธานี,Pathum Thani,2012,1.02,Ticket_MB
จังหวัดประจวบคีรีขันธ์,Prachuap Khiri Khan,2012,1.1,Ticket_MB
จังหวัดปราจีนบุรี,Prachin Buri,2012,0.54,Ticket_MB
จังหวัดปัตตานี,Pattani,2012,0.87,Ticket_MB
จังหวัดพระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,2012,0.72,Ticket_MB
จังหวัดพะเยา,Phayao,2012,0.84,Ticket_MB
จังหวัดพังงา,Phangnga,2012,1.27,Ticket_MB
จังหวัดพัทลุง,Phatthalung,2012,1,Ticket_MB
จังหวัดพิจิตร,Phichit,2012,0.84,Ticket_MB
จังหวัดพิษณุโลก,Phitsanulok,2012,1.07,Ticket_MB
จังหวัดเพชรบุรี,Phetchaburi,2012,1.01,Ticket_MB
จังหวัดเพชรบูรณ์,Phetchabun,2012,0.69,Ticket_MB
จังหวัดแพร่,Phrae,2012,0.65,Ticket_MB
จังหวัดภูเก็ต,Phuket,2012,1.4,Ticket_MB
จังหวัดมหาสารคาม,Maha Sarakham,2012,0.82,Ticket_MB
จังหวัดมุกดาหาร,Mukdahan,2012,0.83,Ticket_MB
จังหวัดแม่ฮ่องสอน,Mae Hong Son,2012,1.06,Ticket_MB
จังหวัดยโสธร,Yasothon,2012,0.74,Ticket_MB
จังหวัดยะลา,Yala,2012,0.86,Ticket_MB
จังหวัดร้อยเอ็ด,Roi Et,2012,0.82,Ticket_MB
จังหวัดระนอง,Ranong,2012,0.96,Ticket_MB
จังหวัดระยอง,Rayong,2012,0.98,Ticket_MB
จังหวัดราชบุรี,Ratchaburi,2012,0.89,Ticket_MB
จังหวัดลพบุรี,Lop Buri,2012,0.63,Ticket_MB
จังหวัดลำปาง,Lampang,2012,0.68,Ticket_MB
จังหวัดลำพูน,Lamphun,2012,0.68,Ticket_MB
จังหวัดเลย,Loei,2012,0.57,Ticket_MB
จังหวัดศรีสะเกษ,Si Sa Ket,2012,0.75,Ticket_MB
จังหวัดสกลนคร,Sakon Nakhon,2012,0.94,Ticket_MB
จังหวัดสงขลา,Songkhla,2012,0.92,Ticket_MB
จังหวัดสตูล,Satun,2012,0.79,Ticket_MB
จังหวัดสมุทรปราการ,Samut Prakan,2012,1.16,Ticket_MB
จังหวัดสมุทรสงคราม,Samut Songkhram,2012,0.94,Ticket_MB
จังหวัดสมุทรสาคร,Samut Sakhon,2012,1.07,Ticket_MB
จังหวัดสระแก้ว,Sa Kaeo,2012,0.76,Ticket_MB
จังหวัดสระบุรี,Saraburi,2012,0.71,Ticket_MB
จังหวัดสิงห์บุรี,Sing Buri,2012,0.71,Ticket_MB
จังหวัดสุโขทัย,Sukhothai,2012,0.75,Ticket_MB
จังหวัดสุพรรณบุรี,Suphan Buri,2012,0.88,Ticket_MB
จังหวัดสุราษฎร์ธานี,Surat Thani,2012,0.96,Ticket_MB
จังหวัดสุรินทร์,Surin,2012,0.86,Ticket_MB
จังหวัดหนองคาย,Nong Khai,2012,0.96,Ticket_MB
จังหวัดหนองบัวลำภู,Nong Bua Lam Phu,2012,0.96,Ticket_MB
จังหวัดอ่างทอง,Ang Thong,2012,0.78,Ticket_MB
จังหวัดอำนาจเจริญ,Amnat Charoen,2012,0.84,Ticket_MB
จังหวัดอุดรธานี,Udon Thani,2012,0.85,Ticket_MB
จังหวัดอุตรดิตถ์,Uttaradit,2012,0.83,Ticket_MB
จังหวัดอุทัยธานี,Uthai Thani,2012,0.79,Ticket_MB
จังหวัดอุบลราชธานี,Ubon Ratchathani,2012,0.93,Ticket_MB
จังหวัดกระบี่,Krabi,2013,1.39,Ticket_MB
จังหวัดกรุงเทพมหานคร,Bangkok Metropolis,2013,1.4,Ticket_MB
จังหวัดกาญจนบุรี,Kanchanaburi,2013,0.89,Ticket_MB
จังหวัดกาฬสินธุ์,Kalasin,2013,0.87,Ticket_MB
จังหวัดกำแพงเพชร,Kamphaeng Phet,2013,0.98,Ticket_MB
จังหวัดขอนแก่น,Khon Kaen,2013,1.14,Ticket_MB
จังหวัดจันทบุรี,Chanthaburi,2013,1.14,Ticket_MB
จังหวัดฉะเชิงเทรา,Chachoengsao,2013,0.94,Ticket_MB
จังหวัดชลบุรี,Chon Buri,2013,1.13,Ticket_MB
จังหวัดชัยนาท,Chai Nat,2013,0.95,Ticket_MB
จังหวัดชัยภูมิ,Chaiyaphum,2013,0.88,Ticket_MB
จังหวัดชุมพร,Chumphon,2013,0.92,Ticket_MB
จังหวัดเชียงราย,Chiang Rai,2013,1.04,Ticket_MB
จังหวัดเชียงใหม่,Chiang Mai,2013,1.21,Ticket_MB
จังหวัดตรัง,Trang,2013,1.01,Ticket_MB
จังหวัดตราด,Trat,2013,1.11,Ticket_MB
จังหวัดตาก,Tak,2013,1,Ticket_MB
จังหวัดนครนายก,Nakhon Nayok,2013,0.85,Ticket_MB
จังหวัดนครปฐม,Nakhon Pathom,2013,1.05,Ticket_MB
จังหวัดนครพนม,Nakhon Phanom,2013,0.97,Ticket_MB
จังหวัดนครราชสีมา,Nakhon Ratchasima,2013,1.09,Ticket_MB
จังหวัดนครศรีธรรมราช,Nakhon Si Thammarat,2013,0.9,Ticket_MB
จังหวัดนครสวรรค์,Nakhon Sawan,2013,1.08,Ticket_MB
จังหวัดนนทบุรี,Nonthaburi,2013,1.33,Ticket_MB
จังหวัดนราธิวาส,Narathiwat,2013,0.85,Ticket_MB
จังหวัดน่าน,Nan,2013,0.9,Ticket_MB
จังหวัดบึงกาฬ,Bueng Kan,2013,1.46,Ticket_MB
จังหวัดบุรีรัมย์,Buri Ram,2013,1.08,Ticket_MB
จังหวัดปทุมธานี,Pathum Thani,2013,1.08,Ticket_MB
จังหวัดประจวบคีรีขันธ์,Prachuap Khiri Khan,2013,1.23,Ticket_MB
จังหวัดปราจีนบุรี,Prachin Buri,2013,0.64,Ticket_MB
จังหวัดปัตตานี,Pattani,2013,0.99,Ticket_MB
จังหวัดพระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,2013,0.82,Ticket_MB
จังหวัดพะเยา,Phayao,2013,1.01,Ticket_MB
จังหวัดพังงา,Phangnga,2013,1.39,Ticket_MB
จังหวัดพัทลุง,Phatthalung,2013,1.16,Ticket_MB
จังหวัดพิจิตร,Phichit,2013,0.93,Ticket_MB
จังหวัดพิษณุโลก,Phitsanulok,2013,1.16,Ticket_MB
จังหวัดเพชรบุรี,Phetchaburi,2013,1.14,Ticket_MB
จังหวัดเพชรบูรณ์,Phetchabun,2013,0.8,Ticket_MB
จังหวัดแพร่,Phrae,2013,0.77,Ticket_MB
จังหวัดภูเก็ต,Phuket,2013,1.6,Ticket_MB
จังหวัดมหาสารคาม,Maha Sarakham,2013,0.95,Ticket_MB
จังหวัดมุกดาหาร,Mukdahan,2013,0.94,Ticket_MB
จังหวัดแม่ฮ่องสอน,Mae Hong Son,2013,1.1,Ticket_MB
จังหวัดยโสธร,Yasothon,2013,0.94,Ticket_MB
จังหวัดยะลา,Yala,2013,0.98,Ticket_MB
จังหวัดร้อยเอ็ด,Roi Et,2013,0.94,Ticket_MB
จังหวัดระนอง,Ranong,2013,1.06,Ticket_MB
จังหวัดระยอง,Rayong,2013,1.12,Ticket_MB
จังหวัดราชบุรี,Ratchaburi,2013,1.03,Ticket_MB
จังหวัดลพบุรี,Lop Buri,2013,0.74,Ticket_MB
จังหวัดลำปาง,Lampang,2013,0.83,Ticket_MB
จังหวัดลำพูน,Lamphun,2013,0.85,Ticket_MB
จังหวัดเลย,Loei,2013,0.73,Ticket_MB
จังหวัดศรีสะเกษ,Si Sa Ket,2013,0.86,Ticket_MB
จังหวัดสกลนคร,Sakon Nakhon,2013,1.09,Ticket_MB
จังหวัดสงขลา,Songkhla,2013,1.11,Ticket_MB
จังหวัดสตูล,Satun,2013,0.96,Ticket_MB
จังหวัดสมุทรปราการ,Samut Prakan,2013,1.22,Ticket_MB
จังหวัดสมุทรสงคราม,Samut Songkhram,2013,1.03,Ticket_MB
จังหวัดสมุทรสาคร,Samut Sakhon,2013,1.21,Ticket_MB
จังหวัดสระแก้ว,Sa Kaeo,2013,1.01,Ticket_MB
จังหวัดสระบุรี,Saraburi,2013,0.79,Ticket_MB
จังหวัดสิงห์บุรี,Sing Buri,2013,0.77,Ticket_MB
จังหวัดสุโขทัย,Sukhothai,2013,0.97,Ticket_MB
จังหวัดสุพรรณบุรี,Suphan Buri,2013,0.98,Ticket_MB
จังหวัดสุราษฎร์ธานี,Surat Thani,2013,1.15,Ticket_MB
จังหวัดสุรินทร์,Surin,2013,1.04,Ticket_MB
จังหวัดหนองคาย,Nong Khai,2013,1.08,Ticket_MB
จังหวัดหนองบัวลำภู,Nong Bua Lam Phu,2013,1.18,Ticket_MB
จังหวัดอ่างทอง,Ang Thong,2013,0.83,Ticket_MB
จังหวัดอำนาจเจริญ,Amnat Charoen,2013,0.94,Ticket_MB
จังหวัดอุดรธานี,Udon Thani,2013,1.04,Ticket_MB
จังหวัดอุตรดิตถ์,Uttaradit,2013,0.93,Ticket_MB
จังหวัดอุทัยธานี,Uthai Thani,2013,0.9,Ticket_MB
จังหวัดอุบลราชธานี,Ubon Ratchathani,2013,1.14,Ticket_MB
จังหวัดกระบี่,Krabi,2014,1.43,Ticket_MB
จังหวัดกรุงเทพมหานคร,Bangkok Metropolis,2014,1.37,Ticket_MB
จังหวัดกาญจนบุรี,Kanchanaburi,2014,0.95,Ticket_MB
จังหวัดกาฬสินธุ์,Kalasin,2014,0.95,Ticket_MB
จังหวัดกำแพงเพชร,Kamphaeng Phet,2014,1.07,Ticket_MB
จังหวัดขอนแก่น,Khon Kaen,2014,1.26,Ticket_MB
จังหวัดจันทบุรี,Chanthaburi,2014,1.23,Ticket_MB
จังหวัดฉะเชิงเทรา,Chachoengsao,2014,1.03,Ticket_MB
จังหวัดชลบุรี,Chon Buri,2014,1.15,Ticket_MB
จังหวัดชัยนาท,Chai Nat,2014,1.03,Ticket_MB
จังหวัดชัยภูมิ,Chaiyaphum,2014,0.89,Ticket_MB
